MatchId,BotType,Result,TimeMs,TotalClicks
585,RandomBot,DEFEAT,0,2
586,RandomBot,DEFEAT,0,3
587,RandomBot,DEFEAT,0,1
588,RandomBot,DEFEAT,0,5
589,RandomBot,DEFEAT,0,3
590,RandomBot,DEFEAT,0,3
591,RandomBot,DEFEAT,0,9
592,RandomBot,DEFEAT,0,3
593,RandomBot,DEFEAT,0,5
594,RandomBot,DEFEAT,0,1
595,RandomBot,DEFEAT,0,2
596,RandomBot,DEFEAT,0,2
597,RandomBot,DEFEAT,0,2
598,RandomBot,DEFEAT,0,4
599,RandomBot,DEFEAT,0,6
600,RandomBot,DEFEAT,0,2
601,RandomBot,DEFEAT,0,4
602,RandomBot,DEFEAT,0,6
603,RandomBot,DEFEAT,0,3
604,RandomBot,DEFEAT,0,5
605,RandomBot,DEFEAT,0,10
606,RandomBot,DEFEAT,1,4
607,RandomBot,DEFEAT,0,5
608,RandomBot,DEFEAT,0,1
609,RandomBot,DEFEAT,0,4
610,RandomBot,DEFEAT,0,2
611,RandomBot,DEFEAT,0,6
612,RandomBot,DEFEAT,0,1
613,RandomBot,DEFEAT,0,4
614,RandomBot,DEFEAT,0,3
615,RandomBot,DEFEAT,0,13
616,RandomBot,DEFEAT,0,5
617,RandomBot,DEFEAT,0,5
618,RandomBot,DEFEAT,0,2
619,RandomBot,DEFEAT,0,3
620,RandomBot,DEFEAT,0,3
621,RandomBot,DEFEAT,0,1
622,RandomBot,DEFEAT,0,2
623,RandomBot,DEFEAT,0,3
624,RandomBot,DEFEAT,0,1
625,RandomBot,DEFEAT,0,7
626,RandomBot,DEFEAT,0,2
627,RandomBot,DEFEAT,0,2
628,RandomBot,DEFEAT,0,5
629,RandomBot,DEFEAT,0,6
630,RandomBot,DEFEAT,0,4
631,RandomBot,DEFEAT,0,3
632,RandomBot,DEFEAT,0,1
633,RandomBot,DEFEAT,0,4
634,RandomBot,DEFEAT,0,3
635,RandomBot,DEFEAT,0,6
636,RandomBot,DEFEAT,0,2
637,RandomBot,DEFEAT,0,4
638,RandomBot,DEFEAT,0,3
639,RandomBot,DEFEAT,0,2
640,RandomBot,DEFEAT,0,2
641,RandomBot,DEFEAT,0,9
642,RandomBot,DEFEAT,0,6
643,RandomBot,DEFEAT,0,6
644,RandomBot,DEFEAT,0,5
645,RandomBot,DEFEAT,0,7
646,RandomBot,DEFEAT,0,2
647,RandomBot,DEFEAT,0,4
648,RandomBot,DEFEAT,0,7
649,RandomBot,DEFEAT,0,4
650,RandomBot,DEFEAT,0,5
651,RandomBot,DEFEAT,0,1
652,RandomBot,DEFEAT,0,5
653,RandomBot,DEFEAT,0,1
654,RandomBot,DEFEAT,1,10
655,RandomBot,DEFEAT,0,7
656,RandomBot,DEFEAT,0,8
657,RandomBot,DEFEAT,0,3
658,RandomBot,DEFEAT,0,2
659,RandomBot,DEFEAT,0,15
660,RandomBot,DEFEAT,0,1
661,RandomBot,DEFEAT,0,2
662,RandomBot,DEFEAT,0,2
663,RandomBot,DEFEAT,0,1
664,RandomBot,DEFEAT,0,4
665,RandomBot,DEFEAT,0,2
666,RandomBot,DEFEAT,0,6
667,RandomBot,DEFEAT,0,6
668,RandomBot,DEFEAT,0,3
669,RandomBot,DEFEAT,0,3
670,RandomBot,DEFEAT,0,2
671,RandomBot,DEFEAT,0,3
672,RandomBot,DEFEAT,0,5
673,RandomBot,DEFEAT,0,4
674,RandomBot,DEFEAT,0,5
675,RandomBot,DEFEAT,0,2
676,RandomBot,DEFEAT,0,3
677,RandomBot,DEFEAT,0,2
678,RandomBot,DEFEAT,0,8
679,RandomBot,DEFEAT,0,2
680,RandomBot,DEFEAT,0,3
681,RandomBot,DEFEAT,0,2
682,RandomBot,DEFEAT,0,5
683,RandomBot,DEFEAT,0,2
684,RandomBot,DEFEAT,0,5
685,RandomBot,DEFEAT,0,4
686,RandomBot,DEFEAT,0,2
687,RandomBot,DEFEAT,0,7
688,RandomBot,DEFEAT,0,5
689,RandomBot,DEFEAT,0,4
690,RandomBot,DEFEAT,0,5
691,RandomBot,DEFEAT,0,4
692,RandomBot,DEFEAT,0,4
693,RandomBot,DEFEAT,0,3
694,RandomBot,DEFEAT,0,6
695,RandomBot,DEFEAT,0,3
696,RandomBot,DEFEAT,0,12
697,RandomBot,DEFEAT,0,3
698,RandomBot,DEFEAT,0,2
699,RandomBot,DEFEAT,0,6
700,RandomBot,DEFEAT,0,4
701,RandomBot,DEFEAT,0,3
702,RandomBot,DEFEAT,1,6
703,RandomBot,DEFEAT,0,2
704,RandomBot,DEFEAT,0,13
705,RandomBot,DEFEAT,0,3
706,RandomBot,DEFEAT,0,3
707,RandomBot,DEFEAT,0,3
708,RandomBot,DEFEAT,0,5
709,RandomBot,DEFEAT,0,14
710,RandomBot,DEFEAT,0,2
711,RandomBot,DEFEAT,0,2
712,RandomBot,DEFEAT,0,2
713,RandomBot,DEFEAT,0,2
714,RandomBot,DEFEAT,0,2
715,RandomBot,DEFEAT,0,7
716,RandomBot,DEFEAT,0,3
717,RandomBot,DEFEAT,0,10
718,RandomBot,DEFEAT,0,14
719,RandomBot,DEFEAT,0,3
720,RandomBot,DEFEAT,0,4
721,RandomBot,DEFEAT,0,5
722,RandomBot,DEFEAT,0,5
723,RandomBot,DEFEAT,0,1
724,RandomBot,DEFEAT,0,2
725,RandomBot,DEFEAT,0,1
726,RandomBot,DEFEAT,0,9
727,RandomBot,DEFEAT,0,2
728,RandomBot,DEFEAT,1,8
729,RandomBot,DEFEAT,0,7
